index,statefips,countyfips,avghouseholdsize,geography
584,19,67,2.28,"Floyd County, Iowa"
585,19,69,2.42,"Franklin County, Iowa"
586,19,71,2.36,"Fremont County, Iowa"
587,19,73,2.3,"Greene County, Iowa"
588,19,75,2.37,"Grundy County, Iowa"
589,19,77,2.34,"Guthrie County, Iowa"
590,19,79,2.36,"Hamilton County, Iowa"
591,19,81,2.33,"Hancock County, Iowa"
592,19,83,2.37,"Hardin County, Iowa"
593,19,85,2.37,"Harrison County, Iowa"
594,19,87,2.43,"Henry County, Iowa"
595,19,89,2.39,"Howard County, Iowa"
596,19,91,2.28,"Humboldt County, Iowa"
597,19,93,2.24,"Ida County, Iowa"
598,19,95,2.34,"Iowa County, Iowa"
599,19,97,2.29,"Jackson County, Iowa"
600,19,99,2.41,"Jasper County, Iowa"
601,19,101,2.24,"Jefferson County, Iowa"
602,19,103,2.37,"Johnson County, Iowa"
603,19,105,2.34,"Jones County, Iowa"
