index,statefips,countyfips,avghouseholdsize,geography
0,2,13,2.43,"Aleutians East Borough, Alaska"
1,2,16,3.59,"Aleutians West Census Area, Alaska"
2,2,20,2.77,"Anchorage Municipality, Alaska"
3,2,50,3.86,"Bethel Census Area, Alaska"
4,2,60,2.5,"Bristol Bay Borough, Alaska"
5,2,68,2.34,"Denali Borough, Alaska"
6,2,70,3.56,"Dillingham Census Area, Alaska"
7,2,90,2.69,"Fairbanks North Star Borough, Alaska"
8,2,100,2.12,"Haines Borough, Alaska"
9,2,105,2.26,"Hoonah-Angoon Census Area, Alaska"
10,2,110,2.62,"Juneau City and Borough, Alaska"
11,2,122,2.57,"Kenai Peninsula Borough, Alaska"
12,2,130,2.55,"Ketchikan Gateway Borough, Alaska"
13,2,150,2.98,"Kodiak Island Borough, Alaska"
14,2,158,4.65,"Kusilvak Census Area, Alaska"
15,2,164,2.9,"Lake and Peninsula Borough, Alaska"
16,2,170,3.03,"Matanuska-Susitna Borough, Alaska"
17,2,180,3.26,"Nome Census Area, Alaska"
18,2,185,3.28,"North Slope Borough, Alaska"
19,2,188,3.97,"Northwest Arctic Borough, Alaska"
20,2,195,2.4,"Petersburg Borough, Alaska"
21,2,198,2.77,"Prince of Wales-Hyder Census Area, Alaska"
22,2,220,2.49,"Sitka City and Borough, Alaska"
23,2,230,2.15,"Skagway Municipality, Alaska"
24,2,240,3.11,"Southeast Fairbanks Census Area, Alaska"
25,2,261,3.1,"Valdez-Cordova Census Area, Alaska"
26,2,275,2.08,"Wrangell City and Borough, Alaska"
27,2,282,2.32,"Yakutat City and Borough, Alaska"
28,2,290,2.81,"Yukon-Koyukuk Census Area, Alaska"
29,1,1,2.68,"Autauga County, Alabama"
30,1,3,2.6,"Baldwin County, Alabama"
31,1,5,2.61,"Barbour County, Alabama"
32,1,7,2.95,"Bibb County, Alabama"
33,1,9,2.74,"Blount County, Alabama"
34,1,11,2.73,"Bullock County, Alabama"
35,1,13,2.49,"Butler County, Alabama"
36,1,15,2.52,"Calhoun County, Alabama"
37,1,17,2.44,"Chambers County, Alabama"
38,1,19,2.28,"Cherokee County, Alabama"
39,1,21,2.68,"Chilton County, Alabama"
40,1,23,2.37,"Choctaw County, Alabama"
41,1,25,2.57,"Clarke County, Alabama"
42,1,27,2.45,"Clay County, Alabama"
43,1,29,2.57,"Cleburne County, Alabama"
44,1,31,2.62,"Coffee County, Alabama"
45,1,33,2.43,"Colbert County, Alabama"
46,1,35,2.48,"Conecuh County, Alabama"
47,1,37,2.42,"Coosa County, Alabama"
48,1,39,2.49,"Covington County, Alabama"
49,1,41,2.56,"Crenshaw County, Alabama"
50,1,43,2.55,"Cullman County, Alabama"
51,1,45,2.56,"Dale County, Alabama"
52,1,47,2.53,"Dallas County, Alabama"
53,1,49,2.81,"DeKalb County, Alabama"
54,1,51,2.65,"Elmore County, Alabama"
55,1,53,2.6,"Escambia County, Alabama"
56,1,55,2.56,"Etowah County, Alabama"
57,1,57,2.36,"Fayette County, Alabama"
58,1,59,2.62,"Franklin County, Alabama"
59,1,61,2.47,"Geneva County, Alabama"
60,1,63,2.7,"Greene County, Alabama"
61,1,65,2.53,"Hale County, Alabama"
62,1,67,2.47,"Henry County, Alabama"
63,1,69,2.62,"Houston County, Alabama"
64,1,71,2.56,"Jackson County, Alabama"
65,1,73,2.47,"Jefferson County, Alabama"
66,1,75,2.27,"Lamar County, Alabama"
67,1,77,2.35,"Lauderdale County, Alabama"
68,1,79,2.46,"Lawrence County, Alabama"
69,1,81,2.54,"Lee County, Alabama"
70,1,83,2.64,"Limestone County, Alabama"
71,1,85,2.49,"Lowndes County, Alabama"
72,1,87,2.24,"Macon County, Alabama"
73,1,89,2.46,"Madison County, Alabama"
74,1,91,2.42,"Marengo County, Alabama"
75,1,93,2.34,"Marion County, Alabama"
76,1,95,2.72,"Marshall County, Alabama"
77,1,97,2.62,"Mobile County, Alabama"
78,1,99,2.62,"Monroe County, Alabama"
79,1,101,2.47,"Montgomery County, Alabama"
80,1,103,2.55,"Morgan County, Alabama"
81,1,105,2.7,"Perry County, Alabama"
82,1,107,2.51,"Pickens County, Alabama"
83,1,109,2.44,"Pike County, Alabama"
84,1,111,2.49,"Randolph County, Alabama"
85,1,113,2.59,"Russell County, Alabama"
86,1,115,2.62,"St. Clair County, Alabama"
87,1,117,2.66,"Shelby County, Alabama"
88,1,119,2.61,"Sumter County, Alabama"
89,1,121,2.49,"Talladega County, Alabama"
90,1,123,2.48,"Tallapoosa County, Alabama"
91,1,125,2.75,"Tuscaloosa County, Alabama"
92,1,127,2.54,"Walker County, Alabama"
93,1,129,2.75,"Washington County, Alabama"
94,1,131,2.86,"Wilcox County, Alabama"
95,1,133,2.53,"Winston County, Alabama"
96,5,1,2.39,"Arkansas County, Arkansas"
97,5,3,2.52,"Ashley County, Arkansas"
98,5,5,2.23,"Baxter County, Arkansas"
99,5,7,2.75,"Benton County, Arkansas"
100,5,9,2.45,"Boone County, Arkansas"
101,5,11,2.39,"Bradley County, Arkansas"
102,5,13,2.4,"Calhoun County, Arkansas"
103,5,15,2.49,"Carroll County, Arkansas"
104,5,17,2.36,"Chicot County, Arkansas"
105,5,19,2.28,"Clark County, Arkansas"
106,5,21,2.31,"Clay County, Arkansas"
107,5,23,2.5,"Cleburne County, Arkansas"
108,5,25,2.53,"Cleveland County, Arkansas"
109,5,27,2.37,"Columbia County, Arkansas"
110,5,29,2.49,"Conway County, Arkansas"
111,5,31,2.52,"Craighead County, Arkansas"
112,5,33,2.58,"Crawford County, Arkansas"
113,5,35,2.67,"Crittenden County, Arkansas"
114,5,37,2.49,"Cross County, Arkansas"
115,5,39,2.26,"Dallas County, Arkansas"
116,5,41,2.33,"Desha County, Arkansas"
117,5,43,2.43,"Drew County, Arkansas"
118,5,45,2.65,"Faulkner County, Arkansas"
119,5,47,2.58,"Franklin County, Arkansas"
120,5,49,2.27,"Fulton County, Arkansas"
121,5,51,2.35,"Garland County, Arkansas"
122,5,53,2.61,"Grant County, Arkansas"
123,5,55,2.56,"Greene County, Arkansas"
124,5,57,2.81,"Hempstead County, Arkansas"
125,5,59,2.59,"Hot Spring County, Arkansas"
126,5,61,2.65,"Howard County, Arkansas"
127,5,63,2.52,"Independence County, Arkansas"
128,5,65,2.28,"Izard County, Arkansas"
129,5,67,2.25,"Jackson County, Arkansas"
130,5,69,2.41,"Jefferson County, Arkansas"
131,5,71,2.5,"Johnson County, Arkansas"
132,5,73,2.52,"Lafayette County, Arkansas"
133,5,75,2.45,"Lawrence County, Arkansas"
134,5,77,2.34,"Lee County, Arkansas"
135,5,79,2.43,"Lincoln County, Arkansas"
136,5,81,2.39,"Little River County, Arkansas"
137,5,83,2.48,"Logan County, Arkansas"
138,5,85,2.7,"Lonoke County, Arkansas"
139,5,87,2.46,"Madison County, Arkansas"
140,5,89,2.43,"Marion County, Arkansas"
141,5,91,2.5,"Miller County, Arkansas"
142,5,93,2.57,"Mississippi County, Arkansas"
143,5,95,2.27,"Monroe County, Arkansas"
144,5,97,2.33,"Montgomery County, Arkansas"
145,5,99,2.48,"Nevada County, Arkansas"
146,5,101,2.42,"Newton County, Arkansas"
147,5,103,2.34,"Ouachita County, Arkansas"
148,5,105,2.62,"Perry County, Arkansas"
149,5,107,2.48,"Phillips County, Arkansas"
150,5,109,2.5,"Pike County, Arkansas"
151,5,111,2.57,"Poinsett County, Arkansas"
152,5,113,2.56,"Polk County, Arkansas"
153,5,115,2.62,"Pope County, Arkansas"
154,5,117,2.16,"Prairie County, Arkansas"
155,5,119,2.49,"Pulaski County, Arkansas"
156,5,121,2.36,"Randolph County, Arkansas"
157,5,123,2.51,"St. Francis County, Arkansas"
158,5,125,2.66,"Saline County, Arkansas"
159,5,127,2.66,"Scott County, Arkansas"
160,5,129,2.48,"Searcy County, Arkansas"
161,5,131,2.53,"Sebastian County, Arkansas"
162,5,133,2.81,"Sevier County, Arkansas"
163,5,135,2.37,"Sharp County, Arkansas"
164,5,137,2.4,"Stone County, Arkansas"
165,5,139,2.43,"Union County, Arkansas"
166,5,141,2.44,"Van Buren County, Arkansas"
167,5,143,2.55,"Washington County, Arkansas"
168,5,145,2.55,"White County, Arkansas"
169,5,147,2.36,"Woodruff County, Arkansas"
170,5,149,2.8,"Yell County, Arkansas"
171,4,1,3.67,"Apache County, Arizona"
172,4,3,2.42,"Cochise County, Arizona"
173,4,5,2.7,"Coconino County, Arizona"
174,4,7,2.5,"Gila County, Arizona"
175,4,9,3.02,"Graham County, Arizona"
176,4,11,2.78,"Greenlee County, Arizona"
177,4,12,2.14,"La Paz County, Arizona"
178,4,13,2.75,"Maricopa County, Arizona"
179,4,15,2.43,"Mohave County, Arizona"
180,4,17,3.08,"Navajo County, Arizona"
181,4,19,2.49,"Pima County, Arizona"
182,4,21,2.87,"Pinal County, Arizona"
183,4,23,3.04,"Santa Cruz County, Arizona"
184,4,25,2.3,"Yavapai County, Arizona"
185,4,27,2.77,"Yuma County, Arizona"
186,6,1,2.78,"Alameda County, California"
187,6,3,3.06,"Alpine County, California"
188,6,5,2.36,"Amador County, California"
189,6,7,2.55,"Butte County, California"
190,6,9,2.45,"Calaveras County, California"
191,6,11,3.04,"Colusa County, California"
192,6,13,2.82,"Contra Costa County, California"
193,6,15,2.55,"Del Norte County, California"
194,6,17,2.69,"El Dorado County, California"
195,6,19,3.17,"Fresno County, California"
196,6,21,2.92,"Glenn County, California"
197,6,23,2.47,"Humboldt County, California"
198,6,25,3.61,"Imperial County, California"
199,6,27,2.23,"Inyo County, California"
200,6,29,3.21,"Kern County, California"
201,6,31,3.19,"Kings County, California"
202,6,33,2.34,"Lake County, California"
203,6,35,2.24,"Lassen County, California"
204,6,37,3.02,"Los Angeles County, California"
205,6,39,3.35,"Madera County, California"
206,6,41,2.41,"Marin County, California"
207,6,43,2.29,"Mariposa County, California"
208,6,45,2.51,"Mendocino County, California"
209,6,47,3.32,"Merced County, California"
210,6,49,2.32,"Modoc County, California"
211,6,51,2.82,"Mono County, California"
212,6,53,3.26,"Monterey County, California"
213,6,55,2.74,"Napa County, California"
214,6,57,2.38,"Nevada County, California"
215,6,59,3.04,"Orange County, California"
216,6,61,2.67,"Placer County, California"
217,6,63,2.26,"Plumas County, California"
218,6,65,3.24,"Riverside County, California"
219,6,67,2.76,"Sacramento County, California"
220,6,69,3.33,"San Benito County, California"
221,6,71,3.33,"San Bernardino County, California"
222,6,73,2.86,"San Diego County, California"
223,6,75,2.32,"San Francisco County, California"
224,6,77,3.16,"San Joaquin County, California"
225,6,79,2.51,"San Luis Obispo County, California"
226,6,81,2.85,"San Mateo County, California"
227,6,83,2.92,"Santa Barbara County, California"
228,6,85,2.95,"Santa Clara County, California"
229,6,87,2.72,"Santa Cruz County, California"
230,6,89,2.54,"Shasta County, California"
231,6,91,2.38,"Sierra County, California"
232,6,93,2.26,"Siskiyou County, California"
233,6,95,2.89,"Solano County, California"
234,6,97,2.59,"Sonoma County, California"
235,6,99,3.08,"Stanislaus County, California"
236,6,101,2.95,"Sutter County, California"
237,6,103,2.63,"Tehama County, California"
238,6,105,2.38,"Trinity County, California"
239,6,107,3.36,"Tulare County, California"
240,6,109,2.28,"Tuolumne County, California"
241,6,111,3.08,"Ventura County, California"
242,6,113,2.77,"Yolo County, California"
243,6,115,2.87,"Yuba County, California"
244,8,1,2.98,"Adams County, Colorado"
245,8,3,2.56,"Alamosa County, Colorado"
246,8,5,2.63,"Arapahoe County, Colorado"
247,8,7,2.25,"Archuleta County, Colorado"
248,8,9,2.3,"Baca County, Colorado"
249,8,11,2.19,"Bent County, Colorado"
250,8,13,2.45,"Boulder County, Colorado"
251,8,14,2.57,"Broomfield County, Colorado"
252,8,15,2.21,"Chaffee County, Colorado"
253,8,17,2.63,"Cheyenne County, Colorado"
254,8,19,2.13,"Clear Creek County, Colorado"
255,8,21,2.78,"Conejos County, Colorado"
256,8,23,2.46,"Costilla County, Colorado"
257,8,25,3.78,"Crowley County, Colorado"
258,8,27,2.15,"Custer County, Colorado"
259,8,29,2.41,"Delta County, Colorado"
260,8,31,2.3,"Denver County, Colorado"
261,8,33,2.64,"Dolores County, Colorado"
262,8,35,2.76,"Douglas County, Colorado"
263,8,37,2.94,"Eagle County, Colorado"
264,8,39,2.82,"Elbert County, Colorado"
265,8,41,2.6,"El Paso County, Colorado"
266,8,43,2.21,"Fremont County, Colorado"
267,8,45,2.72,"Garfield County, Colorado"
268,8,47,2.14,"Gilpin County, Colorado"
269,8,49,2.69,"Grand County, Colorado"
270,8,51,2.34,"Gunnison County, Colorado"
271,8,53,2.18,"Hinsdale County, Colorado"
272,8,55,2.08,"Huerfano County, Colorado"
273,8,57,2.15,"Jackson County, Colorado"
274,8,59,2.44,"Jefferson County, Colorado"
275,8,61,2.45,"Kiowa County, Colorado"
276,8,63,2.35,"Kit Carson County, Colorado"
277,8,65,2.38,"Lake County, Colorado"
278,8,67,2.38,"La Plata County, Colorado"
279,8,69,2.47,"Larimer County, Colorado"
280,8,71,2.36,"Las Animas County, Colorado"
281,8,73,2.24,"Lincoln County, Colorado"
282,8,75,2.61,"Logan County, Colorado"
283,8,77,2.43,"Mesa County, Colorado"
284,8,79,1.91,"Mineral County, Colorado"
285,8,81,2.6,"Moffat County, Colorado"
286,8,83,2.44,"Montezuma County, Colorado"
287,8,85,2.4,"Montrose County, Colorado"
288,8,87,2.67,"Morgan County, Colorado"
289,8,89,2.42,"Otero County, Colorado"
290,8,91,2.31,"Ouray County, Colorado"
291,8,93,2.2,"Park County, Colorado"
292,8,95,2.52,"Phillips County, Colorado"
293,8,97,2.28,"Pitkin County, Colorado"
294,8,99,2.44,"Prowers County, Colorado"
295,8,101,2.49,"Pueblo County, Colorado"
296,8,103,2.48,"Rio Blanco County, Colorado"
297,8,105,2.49,"Rio Grande County, Colorado"
298,8,107,2.46,"Routt County, Colorado"
299,8,109,2.39,"Saguache County, Colorado"
300,8,111,2.15,"San Juan County, Colorado"
301,8,113,2.31,"San Miguel County, Colorado"
302,8,115,2.44,"Sedgwick County, Colorado"
303,8,117,2.82,"Summit County, Colorado"
304,8,119,2.42,"Teller County, Colorado"
305,8,121,2.3,"Washington County, Colorado"
306,8,123,2.8,"Weld County, Colorado"
307,8,125,2.6,"Yuma County, Colorado"
308,9,1,2.76,"Fairfield County, Connecticut"
309,9,3,2.51,"Hartford County, Connecticut"
310,9,5,2.46,"Litchfield County, Connecticut"
311,9,7,2.4,"Middlesex County, Connecticut"
312,9,9,2.56,"New Haven County, Connecticut"
313,9,11,2.45,"New London County, Connecticut"
314,9,13,2.49,"Tolland County, Connecticut"
315,9,15,2.53,"Windham County, Connecticut"
316,11,1,2.22,"District of Columbia, District of Columbia"
317,10,1,2.71,"Kent County, Delaware"
318,10,3,2.63,"New Castle County, Delaware"
319,10,5,2.52,"Sussex County, Delaware"
320,12,1,2.46,"Alachua County, Florida"
321,12,3,3.0,"Baker County, Florida"
322,12,5,2.54,"Bay County, Florida"
323,12,7,2.72,"Bradford County, Florida"
324,12,9,2.46,"Brevard County, Florida"
325,12,11,2.73,"Broward County, Florida"
326,12,13,2.64,"Calhoun County, Florida"
327,12,15,2.26,"Charlotte County, Florida"
328,12,17,2.25,"Citrus County, Florida"
329,12,19,2.84,"Clay County, Florida"
330,12,21,2.59,"Collier County, Florida"
331,12,23,2.66,"Columbia County, Florida"
332,12,27,2.78,"DeSoto County, Florida"
333,12,29,2.41,"Dixie County, Florida"
334,12,31,2.58,"Duval County, Florida"
335,12,33,2.53,"Escambia County, Florida"
336,12,35,2.71,"Flagler County, Florida"
337,12,37,2.24,"Franklin County, Florida"
338,12,39,2.53,"Gadsden County, Florida"
339,12,41,2.54,"Gilchrist County, Florida"
340,12,43,3.04,"Glades County, Florida"
341,12,45,2.52,"Gulf County, Florida"
342,12,47,2.35,"Hamilton County, Florida"
343,12,49,3.33,"Hardee County, Florida"
344,12,51,3.18,"Hendry County, Florida"
345,12,53,2.45,"Hernando County, Florida"
346,12,55,2.39,"Highlands County, Florida"
347,12,57,2.64,"Hillsborough County, Florida"
348,12,59,2.6,"Holmes County, Florida"
349,12,61,2.44,"Indian River County, Florida"
350,12,63,2.52,"Jackson County, Florida"
351,12,65,2.17,"Jefferson County, Florida"
352,12,67,2.81,"Lafayette County, Florida"
353,12,69,2.57,"Lake County, Florida"
354,12,71,2.59,"Lee County, Florida"
355,12,73,2.43,"Leon County, Florida"
356,12,75,2.53,"Levy County, Florida"
357,12,77,2.77,"Liberty County, Florida"
358,12,79,2.52,"Madison County, Florida"
359,12,81,2.52,"Manatee County, Florida"
360,12,83,2.48,"Marion County, Florida"
361,12,85,2.39,"Martin County, Florida"
362,12,86,3.08,"Miami-Dade County, Florida"
363,12,87,2.55,"Monroe County, Florida"
364,12,89,2.66,"Nassau County, Florida"
365,12,91,2.5,"Okaloosa County, Florida"
366,12,93,2.77,"Okeechobee County, Florida"
367,12,95,2.75,"Orange County, Florida"
368,12,97,3.23,"Osceola County, Florida"
369,12,99,2.54,"Palm Beach County, Florida"
370,12,101,2.53,"Pasco County, Florida"
371,12,103,2.27,"Pinellas County, Florida"
372,12,105,2.77,"Polk County, Florida"
373,12,107,2.57,"Putnam County, Florida"
374,12,109,2.62,"St. Johns County, Florida"
375,12,111,2.64,"St. Lucie County, Florida"
376,12,113,2.65,"Santa Rosa County, Florida"
377,12,115,2.21,"Sarasota County, Florida"
378,12,117,2.85,"Seminole County, Florida"
379,12,119,2.05,"Sumter County, Florida"
380,12,121,2.69,"Suwannee County, Florida"
381,12,123,2.44,"Taylor County, Florida"
382,12,125,2.58,"Union County, Florida"
383,12,127,2.46,"Volusia County, Florida"
384,12,129,2.57,"Wakulla County, Florida"
385,12,131,2.45,"Walton County, Florida"
386,12,133,2.66,"Washington County, Florida"
387,13,1,2.63,"Appling County, Georgia"
388,13,3,2.98,"Atkinson County, Georgia"
389,13,5,2.71,"Bacon County, Georgia"
390,13,7,2.55,"Baker County, Georgia"
391,13,9,2.62,"Baldwin County, Georgia"
392,13,11,2.8,"Banks County, Georgia"
393,13,13,3.05,"Barrow County, Georgia"
394,13,15,2.81,"Bartow County, Georgia"
395,13,17,2.68,"Ben Hill County, Georgia"
396,13,19,2.71,"Berrien County, Georgia"
397,13,21,2.59,"Bibb County, Georgia"
398,13,23,2.71,"Bleckley County, Georgia"
399,13,25,2.79,"Brantley County, Georgia"
400,13,27,2.37,"Brooks County, Georgia"
401,13,29,2.89,"Bryan County, Georgia"
402,13,31,2.54,"Bulloch County, Georgia"
403,13,33,2.81,"Burke County, Georgia"
404,13,35,2.7,"Butts County, Georgia"
405,13,37,2.13,"Calhoun County, Georgia"
406,13,39,2.68,"Camden County, Georgia"
407,13,43,2.75,"Candler County, Georgia"
408,13,45,2.72,"Carroll County, Georgia"
409,13,47,2.71,"Catoosa County, Georgia"
410,13,49,3.32,"Charlton County, Georgia"
411,13,51,2.55,"Chatham County, Georgia"
412,13,53,3.24,"Chattahoochee County, Georgia"
413,13,55,2.49,"Chattooga County, Georgia"
414,13,57,2.84,"Cherokee County, Georgia"
415,13,59,2.55,"Clarke County, Georgia"
416,13,61,2.57,"Clay County, Georgia"
417,13,63,2.97,"Clayton County, Georgia"
418,13,65,2.49,"Clinch County, Georgia"
419,13,67,2.64,"Cobb County, Georgia"
420,13,69,2.73,"Coffee County, Georgia"
421,13,71,2.86,"Colquitt County, Georgia"
422,13,73,2.98,"Columbia County, Georgia"
423,13,75,2.74,"Cook County, Georgia"
424,13,77,2.73,"Coweta County, Georgia"
425,13,79,2.72,"Crawford County, Georgia"
426,13,81,2.64,"Crisp County, Georgia"
427,13,83,2.47,"Dade County, Georgia"
428,13,85,2.74,"Dawson County, Georgia"
429,13,87,2.46,"Decatur County, Georgia"
430,13,89,2.63,"DeKalb County, Georgia"
431,13,91,2.35,"Dodge County, Georgia"
432,13,93,2.52,"Dooly County, Georgia"
433,13,95,2.52,"Dougherty County, Georgia"
434,13,97,2.87,"Douglas County, Georgia"
435,13,99,2.62,"Early County, Georgia"
436,13,101,2.86,"Echols County, Georgia"
437,13,103,2.95,"Effingham County, Georgia"
438,13,105,2.49,"Elbert County, Georgia"
439,13,107,2.68,"Emanuel County, Georgia"
440,13,109,2.6,"Evans County, Georgia"
441,13,111,2.48,"Fannin County, Georgia"
442,13,113,2.8,"Fayette County, Georgia"
443,13,115,2.64,"Floyd County, Georgia"
444,13,117,3.14,"Forsyth County, Georgia"
445,13,119,2.54,"Franklin County, Georgia"
446,13,121,2.5,"Fulton County, Georgia"
447,13,123,2.58,"Gilmer County, Georgia"
448,13,125,2.67,"Glascock County, Georgia"
449,13,127,2.49,"Glynn County, Georgia"
450,13,129,2.83,"Gordon County, Georgia"
451,13,131,2.7,"Grady County, Georgia"
452,13,133,2.4,"Greene County, Georgia"
453,13,135,3.12,"Gwinnett County, Georgia"
454,13,137,2.74,"Habersham County, Georgia"
455,13,139,3.0,"Hall County, Georgia"
456,13,141,2.49,"Hancock County, Georgia"
457,13,143,2.63,"Haralson County, Georgia"
458,13,145,2.79,"Harris County, Georgia"
459,13,147,2.48,"Hart County, Georgia"
460,13,149,2.65,"Heard County, Georgia"
461,13,151,3.0,"Henry County, Georgia"
462,13,153,2.72,"Houston County, Georgia"
463,13,155,2.71,"Irwin County, Georgia"
464,13,157,2.88,"Jackson County, Georgia"
465,13,159,2.61,"Jasper County, Georgia"
466,13,161,2.75,"Jeff Davis County, Georgia"
467,13,163,2.61,"Jefferson County, Georgia"
468,13,165,2.53,"Jenkins County, Georgia"
469,13,167,2.8,"Johnson County, Georgia"
470,13,169,2.76,"Jones County, Georgia"
471,13,171,2.62,"Lamar County, Georgia"
472,13,173,2.72,"Lanier County, Georgia"
473,13,175,2.65,"Laurens County, Georgia"
474,13,177,2.76,"Lee County, Georgia"
475,13,179,2.72,"Liberty County, Georgia"
476,13,181,2.23,"Lincoln County, Georgia"
477,13,183,3.27,"Long County, Georgia"
478,13,185,2.78,"Lowndes County, Georgia"
479,13,187,2.66,"Lumpkin County, Georgia"
480,13,189,2.61,"McDuffie County, Georgia"
481,13,191,2.63,"McIntosh County, Georgia"
482,13,193,2.62,"Macon County, Georgia"
483,13,195,2.75,"Madison County, Georgia"
484,13,197,2.83,"Marion County, Georgia"
485,13,199,2.65,"Meriwether County, Georgia"
486,13,201,2.42,"Miller County, Georgia"
487,13,205,2.55,"Mitchell County, Georgia"
488,13,207,2.68,"Monroe County, Georgia"
489,13,209,2.62,"Montgomery County, Georgia"
490,13,211,2.76,"Morgan County, Georgia"
491,13,213,2.75,"Murray County, Georgia"
492,13,215,2.61,"Muscogee County, Georgia"
493,13,217,2.92,"Newton County, Georgia"
494,13,219,2.88,"Oconee County, Georgia"
495,13,221,2.63,"Oglethorpe County, Georgia"
496,13,223,2.99,"Paulding County, Georgia"
497,13,225,2.5,"Peach County, Georgia"
498,13,227,2.61,"Pickens County, Georgia"
499,13,229,2.72,"Pierce County, Georgia"
500,13,231,2.92,"Pike County, Georgia"
501,13,233,2.78,"Polk County, Georgia"
502,13,235,2.55,"Pulaski County, Georgia"
503,13,237,2.49,"Putnam County, Georgia"
504,13,239,2.29,"Quitman County, Georgia"
505,13,241,2.34,"Rabun County, Georgia"
506,13,243,2.54,"Randolph County, Georgia"
507,13,245,2.68,"Richmond County, Georgia"
508,13,247,2.91,"Rockdale County, Georgia"
509,13,249,2.7,"Schley County, Georgia"
510,13,251,2.61,"Screven County, Georgia"
511,13,253,2.62,"Seminole County, Georgia"
512,13,255,2.76,"Spalding County, Georgia"
513,13,257,2.7,"Stephens County, Georgia"
514,13,259,2.48,"Stewart County, Georgia"
515,13,261,2.58,"Sumter County, Georgia"
516,13,263,2.43,"Talbot County, Georgia"
517,13,265,2.42,"Taliaferro County, Georgia"
518,13,267,2.46,"Tattnall County, Georgia"
519,13,269,2.39,"Taylor County, Georgia"
520,13,271,2.37,"Telfair County, Georgia"
521,13,273,2.68,"Terrell County, Georgia"
522,13,275,2.53,"Thomas County, Georgia"
523,13,277,2.76,"Tift County, Georgia"
524,13,279,2.5,"Toombs County, Georgia"
525,13,281,2.34,"Towns County, Georgia"
526,13,283,2.38,"Treutlen County, Georgia"
527,13,285,2.73,"Troup County, Georgia"
528,13,287,2.63,"Turner County, Georgia"
529,13,289,2.79,"Twiggs County, Georgia"
530,13,291,2.54,"Union County, Georgia"
531,13,293,2.55,"Upson County, Georgia"
532,13,295,2.59,"Walker County, Georgia"
533,13,297,2.88,"Walton County, Georgia"
534,13,299,2.39,"Ware County, Georgia"
535,13,301,2.58,"Warren County, Georgia"
536,13,303,2.64,"Washington County, Georgia"
537,13,305,2.77,"Wayne County, Georgia"
538,13,307,2.56,"Webster County, Georgia"
539,13,309,2.16,"Wheeler County, Georgia"
540,13,311,2.42,"White County, Georgia"
541,13,313,2.96,"Whitfield County, Georgia"
542,13,315,2.52,"Wilcox County, Georgia"
543,13,317,2.45,"Wilkes County, Georgia"
544,13,319,2.8,"Wilkinson County, Georgia"
545,13,321,2.65,"Worth County, Georgia"
546,15,1,2.9,"Hawaii County, Hawaii"
547,15,3,3.06,"Honolulu County, Hawaii"
548,15,5,1.37,"Kalawao County, Hawaii"
549,15,7,3.07,"Kauai County, Hawaii"
550,15,9,2.96,"Maui County, Hawaii"
551,19,1,2.25,"Adair County, Iowa"
552,19,3,2.18,"Adams County, Iowa"
553,19,5,2.26,"Allamakee County, Iowa"
554,19,7,2.28,"Appanoose County, Iowa"
555,19,9,2.15,"Audubon County, Iowa"
556,19,11,2.51,"Benton County, Iowa"
557,19,13,2.42,"Black Hawk County, Iowa"
558,19,15,2.37,"Boone County, Iowa"
559,19,17,2.45,"Bremer County, Iowa"
560,19,19,2.5,"Buchanan County, Iowa"
561,19,21,2.55,"Buena Vista County, Iowa"
562,19,23,2.37,"Butler County, Iowa"
563,19,25,2.19,"Calhoun County, Iowa"
564,19,27,2.36,"Carroll County, Iowa"
565,19,29,2.18,"Cass County, Iowa"
566,19,31,2.37,"Cedar County, Iowa"
567,19,33,2.17,"Cerro Gordo County, Iowa"
568,19,35,2.14,"Cherokee County, Iowa"
569,19,37,2.27,"Chickasaw County, Iowa"
570,19,39,2.43,"Clarke County, Iowa"
571,19,41,2.27,"Clay County, Iowa"
572,19,43,2.3,"Clayton County, Iowa"
573,19,45,2.36,"Clinton County, Iowa"
574,19,47,2.64,"Crawford County, Iowa"
575,19,49,2.69,"Dallas County, Iowa"
576,19,51,2.73,"Davis County, Iowa"
577,19,53,2.38,"Decatur County, Iowa"
578,19,55,2.48,"Delaware County, Iowa"
579,19,57,2.36,"Des Moines County, Iowa"
580,19,59,2.14,"Dickinson County, Iowa"
581,19,61,2.41,"Dubuque County, Iowa"
582,19,63,2.23,"Emmet County, Iowa"
583,19,65,2.31,"Fayette County, Iowa"
