"",Missing Values,% of Total Values,Data Type
DefTwoPoint,42873,100.0,object
BlockingPlayer,42867,100.0,object
TwoPointConv,42789,99.8,object
ChalReplayResult,42465,99.0,object
Interceptor,42411,98.9,object
RecFumbTeam,42397,98.9,object
RecFumbPlayer,42397,98.9,object
FieldGoalDistance,41889,97.7,float64
FieldGoalResult,41877,97.7,object
ExPointResult,41747,97.4,object
PenaltyType,40926,95.4,object
ReturnResult,40534,94.5,object
PuntResult,40393,94.2,object
Returner,40380,94.2,object
Tackler2,39522,92.2,object
PenalizedPlayer,39474,92.1,object
PenalizedTeam,39343,91.8,object
RunGap,33291,77.6,object
RunLocation,29912,69.8,object
Rusher,29812,69.5,object
Receiver,24420,57.0,object
PassLocation,23587,55.0,object
PassLength,23587,55.0,object
Passer,23480,54.8,object
PassOutcome,23443,54.7,object
Tackler1,17975,41.9,object
down,3872,9.0,float64
FirstDown,2549,5.9,float64
